PURPOSE Field,PURPOSE FIELD DIRECTOR ,NumberOfDups
TEMPORARY INTERN (OVERTIME),TEMPORARY INTERN   ,5
WASHINGTON CHIEF OF STAFF,WASHINGTON CHIEF OF STAFF  ,5
APPOINTMENTS DESK ASSISTANT,APPOINTMENTS DESK ASSISTANT  ,6
APPOINTMENTS DESK ASSISTANT(A),APPOINTMENTS DESK ASSISTANT  ,6
ASSISTANT PRESS SECRETARY,ASSISTANT PRESS SECRETARY  ,6
ASST JOURNAL CLERK,ASSISTANT JOURNAL CLERK  ,6
AUDIO SPECIALIST,AUDIO SPECIALIST  ,6
AUDIO SPECIALIST (OVERTIME),AUDIO SPECIALIST   ,6
BROADCAST ENGINEER AND PROD SPEC.,BROADCAST ENGINEER/PRODUCT SPECIALIST  ,6
CASE MANAGER,CASE MANAGER  ,6
CASEWKR AND FIELD REPRESENTATIVE,CASEWORKER/FIELD DIRECTOR REPRESENTATIVE  ,6
CASEWORK ASSISTANT,CASEWORK ASSISTANT  ,6
CASEWORKER (OVERTIME),CASEWORKER   ,6
CHAMBER SUPPORT SVCS STAFF (A),CHAMBER SUPPORT SERVICES STAFF   ,6
CHIEF ADMINISTRATIVE OFFICER,CHIEF ADMINISTRATIVE OFFICER  ,6
CHIEF ADMINISTRATOR,CHIEF ADMINISTRATOR  ,6
"CHIEF OF STAFF, DC OFFICE","CHIEF OF STAFF, DC OFFICE  ",6
CHIEF OF STAFF AND LEG DIRECTOR,CHIEF OF STAFF/LEGISLATIVE DIRECTOR  ,6
CHIEF OF STAFF-DISTRICT,CHIEF OF STAFF-DISTRICT  ,6
COMMUNICATIONS COORDINATOR,COMMUNICATIONS COORDINATOR  ,6
COMMUNICATIONS DIRECTOR (OTHER COMPENSATION),COMMUNICATIONS DIRECTOR   ,6
COMPUTER SPECIALIST,COMPUTER SPECIALIST  ,6
CONGRESSIONAL CASEWORKER,CONGRESSIONAL CASEWORKER  ,6
CONSTITUENT LIAISON AND OUTREACH,CONSTITUENT LIAISON/OUTREACH  ,6
CONSTITUENT SERVICES AIDE,CONSTITUENT SERVICES AIDE  ,6
CONSTITUENT SERVICES AND FIELD REP,CONSTITUENT SERVICES/FIELD DIRECTOR REPRESENTATIVE  ,6
CONSTITUENT SVC REPRESENTATIVE,CONSTITUENT SERVICE REPRESENTATIVE  ,6
DEMOCRATIC PROFESSIONAL ASSIST,DEMOCRATIC PROFESSIONAL ASSISTANT  ,6
DEPUTY CHIEF OF STAFF AND COMM DIR,DEPUTY CHIEF OF STAFF/COMMUNICATION DIRECTOR  ,6
DEPUTY CHIEF OF STAFF AND LEG DIR,DEPUTY CHIEF OF STAFF/LEGISLATIVE DIRECTOR  ,6
DIRECTOR OF COMMUNITY RELATION,DIRECTOR OF COMMUNITY RELATION  ,6
DISTRICT COORDINATOR,DISTRICT COORDINATOR  ,6
DISTRICT PROJECT DIRECTOR,DISTRICT PROJECT DIRECTOR  ,6
DISTRICT REP AND CASEWORKER,DISTRICT REPRESENTATIVE/CASEWORKER  ,6
DISTRICT SCHEDULER AND CONSTIT SVC,DISTRICT SCHEDULER/CONSTITUENT SERVICE  ,6
DPTY CHF OF STF AND LEGIS DIR,DEPUTY CHIEF OF STAFF/LEGISLATIVE DIRECTOR  ,6
EDUCATION POLICY ADVISOR,EDUCATION POLICY ADVISOR  ,6
EXEC COMM CLERK,EXECUTIVE COMMUNICATION CLERK  ,6
EXEC COMM CLERK (OVERTIME),EXECUTIVE COMMUNICATION CLERK   ,6
HISTORICAL RESEARCH ASSISTANT,HISTORICAL RESEARCH ASSISTANT  ,6
INTERNET SYSTEMS ENGINEER,INTERNET SYSTEMS ENGINEER  ,6
LABOR POLICY ADVISOR,LABOR POLICY ADVISOR  ,6
LEGAL ASSISTANT,LEGAL ASSISTANT  ,6
LEGIS STAFF,LEGISLATIVE STAFF  ,6
LEGISLATIVE COORDINATOR,LEGISLATIVE COORDINATOR  ,6
MAJORITY COUNSEL,MAJORITY COUNSEL  ,6
MEDIA LOGISTICS COORDINATOR,MEDIA LOGISTICS COORDINATOR  ,6
MEMBER OUTREACH ASST-VICE CHR,MEMBER OUTREACH ASSISTANT-VICE CHAIR  ,6
NETWORK COMM SPECIALIST,NETWORK COMMUNICATION SPECIALIST  ,6
NETWORK COMMUNICATIONS SPEC,NETWORK COMMUNICATIONS SPECIALIST  ,6
OFFICE ADMINISTRATOR,OFFICE ADMINISTRATOR  ,6
OFFICE ADMINSTRATOR,OFFICE ADMINSTRATOR  ,6
PARKING SECURITY STAFF (OVERTIME),PARKING SECURITY STAFF   ,6
PRESS ADVISOR,PRESS ADVISOR  ,6
PRINTING CLERK,PRINTING CLERK  ,6
PROF STAFF SC ON OVER & INVES,PROFESSIONAL STAFF SUBCOMMITTEE ON OVERSIGHT AND INVESTIGATION  ,6
PROFESSIONAL STAFF AND COUNSEL,PROFESSIONAL STAFF/COUNSEL  ,6
REGIS & COMPLIANCE CLERK,REGIS AND COMPLIANCE CLERK  ,6
REPUBLICAN COMMUNICATIONS DIR,REPUBLICAN COMMUNICATIONS DIRECTOR  ,6
REPUBLICAN PRESS SECRETARY,REPUBLICAN PRESS SECRETARY  ,6
RESOURCE ANALYST,RESOURCE ANALYST  ,6
SCHEDULER AND LEGISLATIVE CORRES,SCHEDULER/LEGISLATIVE CORRES  ,6
SENIOR LEGISLATION COUNSEL,SENIOR LEGISLATION COUNSEL  ,6
SENIOR LEGISLATIVE CLERK,SENIOR LEGISLATIVE CLERK  ,6
SENIOR SECRETARY,SENIOR SECRETARY  ,6
SENIOR SYSTEMS ANALYST,SENIOR SYSTEMS ANALYST  ,6
SHARED STAFF AND REP. PAUL RYAN,SHARED STAFF/REPRESENTATIVE PAUL RYAN  ,6
SOFTWARE ENGINEER II,SOFTWARE ENGINEER II  ,6
SR BROADCAST ENG AND PROD SPECLST,SENIOR BROADCAST ENG/PRODUCT SPECLST  ,6
SR COUNSEL ENVIRONMENT&ENERGY,SENIOR COUNSEL ENVIRONMENT AND ENERGY  ,6
SR CUSTOMER SOLUTIONS REP.,SENIOR CUSTOMER SOLUTIONS REPRESENTATIVE  ,6
SR ELECTRONICS TECH (A) (OVERTIME),SENIOR ELECTRONICS TECHNICAL    ,6
SR LEGISLATIVE CORRESPONDENT,SENIOR LEGISLATIVE CORRESPONDENT  ,6
SR SOFTWARE ENGINEER,SENIOR SOFTWARE ENGINEER  ,6
STAFF ACCOUNTANT,STAFF ACCOUNTANT  ,6
STAFF ASSISTANT AND RECEPTIONIST,STAFF ASSISTANT/RECEPTIONIST  ,6
STAFF ASSISTANT AND SYSTEMS ADMINI,STAFF ASSISTANT/SYSTEMS ADMINISTRATOR  ,6
STAFF DIRECTOR & CHIEF COUNSEL,STAFF DIRECTOR AND CHIEF COUNSEL  ,6
SUMMER ENRICHMENT COUNSELOR,SUMMER ENRICHMENT COUNSELOR  ,6
SYSTEMS MANAGER,SYSTEMS MANAGER  ,6
TECH SOLUTIONS TECHNICIAN,TECHNICAL SOLUTIONS TECHNICIAN  ,6
VENDOR MGMT COUNSELOR (A),VENDOR MANAGEMENT COUNSELOR   ,6
AUDIO TECHNICIAN,AUDIO TECHNICIAN  ,7
AUDIO TECHNICIAN (OVERTIME),AUDIO TECHNICIAN   ,7
BRANCH CHIEF,BRANCH CHIEF  ,7
BROADCAST ENGINEER AND PROD SPEC. (OVERTIME),BROADCAST ENGINEER/PRODUCT SPECIALIST   ,7
CHIEF INFORMATION OFFICER,CHIEF INFORMATION OFFICER  ,7
CHIEF OVERSIGHT COUNSEL,CHIEF OVERSIGHT COUNSEL  ,7
CONGRESSIONAL DISTRICT LIAISON,CONGRESSIONAL DISTRICT LIAISON  ,7
CONSTITUENT LIAISON (OVERTIME),CONSTITUENT LIAISON   ,7
CONSTITUENT SERVICE MANAGER,CONSTITUENT SERVICE MANAGER  ,7
DISTRICT FIELD REPRESENTATIVE,DISTRICT FIELD DIRECTOR REPRESENTATIVE  ,7
DISTRICT OFFICE MANAGER..,DISTRICT OFFICE MANAGER  ,7
DISTRICT SCHEDULER AND CASEWORKER,DISTRICT SCHEDULER/CASEWORKER  ,7
FULL COMMITTEE-INTERN,FULL COMMITTEE-INTERN  ,7
LAW CLERK,LAW CLERK  ,7
LEGIS CORRES AND LEGIS ASST,LEGISLATIVE CORRESPONDENT/LEGISLATIVE ASSISTANT  ,7
LEGISLATIVE ASSISTANT (OVERTIME),LEGISLATIVE ASSISTANT   ,7
OFFICE MANAGER AND CASEWORKER,OFFICE MANAGER/CASEWORKER  ,7
OFFICE MANAGER AND EXEC ASST,OFFICE MANAGER/EXECUTIVE ASSISTANT  ,7
PRODUCTION AND ENGINEER SPEC (TEMP,PRODUCTION/ENGINEER SPECIALIST,7
PROF STAFF SC- ENERGY & ENVIRO,PROFESSIONAL STAFF SUBCOMMITTEE- ENERGY AND ENVIRONMENT  ,7
RESOURCE MANAGER,RESOURCE MANAGER  ,7
SCHEDULER AND PERSONAL ASST,SCHEDULER/PERSONAL ASSISTANT  ,7
SENIOR ASSOCIATE COUNSEL,SENIOR ASSOCIATE COUNSEL  ,7
SENIOR OFFICE COORDINATOR,SENIOR OFFICE COORDINATOR  ,7
SENIOR SOFTWARE ENGINEER,SENIOR SOFTWARE ENGINEER  ,7
SPECIAL ASSISTANT AND SCHEDULER,SPECIAL ASSISTANT/SCHEDULER  ,7
SR EA COUNSELOR,SENIOR EA COUNSELOR  ,7
TEACHER ASSISTANT (A),TEACHER ASSISTANT   ,7
TEACHER ASSISTANT (OVERTIME),TEACHER ASSISTANT   ,7
TEMPORARY INTERN,TEMPORARY INTERN  ,7
ADMINISTRATIVE AIDE (C) (OVERTIME),ADMINISTRATIVE AIDE    ,8
ADMINISTRATOR,ADMINISTRATOR  ,8
APPLICATION DBA SPECIALIST,APPLICATION DBA SPECIALIST  ,8
ASSISTANT PARLIAMENTARIAN,ASSISTANT PARLIAMENTARIAN  ,8
ASST SYSTEMS ADMINISTRATOR,ASSISTANT SYSTEMS ADMINISTRATOR  ,8
COMMUNITY OUTREACH DIRECTOR,COMMUNITY OUTREACH DIRECTOR  ,8
CONSTITUENT CASEWORKER,CONSTITUENT CASEWORKER  ,8
DEP. CHIEF OF STAFF AND LEGIS. DIR,DEPUTY CHIEF OF STAFF/LEGISLATIVE DIRECTOR  ,8
DEPUTY CHEIF OF STAFF,DEPUTY CHEIF OF STAFF  ,8
DEPUTY SCHEDULER,DEPUTY SCHEDULER  ,8
DIR OF CONSTITUENT SERVICES,DIRECTOR OF CONSTITUENT SERVICES  ,8
DIRECTOR OF OUTREACH,DIRECTOR OF OUTREACH  ,8
DISTRICT EXECUTIVE ASSISTANT,DISTRICT EXECUTIVE ASSISTANT  ,8
DISTRICT FIELD REP,DISTRICT FIELD DIRECTOR REPRESENTATIVE  ,8
DISTRICT OUTREACH COORDINATOR,DISTRICT OUTREACH COORDINATOR  ,8
ECONOMIC DEVELOPMENT DIRECTOR,ECONOMIC DEVELOPMENT DIRECTOR  ,8
EDITOR,EDITOR  ,8
EXECUTIVE ASSISTANT AND OFFICE MAN,EXECUTIVE ASSISTANT/OFFICE MANAGER  ,8
EXECUTIVE ASST AND SCHEDULER,EXECUTIVE ASSISTANT/SCHEDULER  ,8
HEAD TEACHER (A),HEAD TEACHER   ,8
INTERN - FULL COMMITTEE,INTERN - FULL COMMITTEE  ,8
LEGIS ASST AND LEGISLATIVE CORRES,LEGISLATIVE ASSISTANT/LEGISLATIVE CORRES  ,8
LEGISLATION COUNSEL,LEGISLATION COUNSEL  ,8
LEGISLATIVE ANALYST,LEGISLATIVE ANALYST  ,8
LEGISLATIVE CORRESPONDENT (OTHER COMPENSATION),LEGISLATIVE CORRESPONDENT   ,8
MILITARY LEGISLATIVE ASST,MILITARY LEGISLATIVE ASSISTANT  ,8
MINORITY SR PROFESSIONAL STAFF,MINORITY SENIOR PROFESSIONAL STAFF MEMBER ,8
POLICY ADVISOR & LEGIS. COUNS.,POLICY ADVISOR AND LEGISLATIVE COUNSEL ,8
PROCTOR,PROCTOR  ,8
RESEARCH ANALYST,RESEARCH ANALYST  ,8
RETAIL INVENTORY SPECIALIST,RETAIL INVENTORY SPECIALIST  ,8
SENIOR ACCOUNTANT (A),SENIOR ACCOUNTANT   ,8
SENIOR STAFF ASSISTANT,SENIOR STAFF ASSISTANT  ,8
SP ASST - DISTRICT,SP ASSISTANT - DISTRICT  ,8
SPECIAL PROJECTS DIRECTOR,SPECIAL PROJECTS DIRECTOR  ,8
STAFF ASSISTANT AND FULL COMMITTEE,STAFF ASSISTANT/FULL COMMITTEE  ,8
TECHNICAL DIRECTOR (A),TECHNICAL DIRECTOR   ,8
ACCOUNT MANAGEMENT COUNSELOR,ACCOUNT MANAGEMENT COUNSELOR  ,9
ADMINISTRATIVE SPECIALIST,ADMINISTRATIVE SPECIALIST  ,9
ASSISTANT ENROLLING CLERK,ASSISTANT ENROLLING CLERK  ,9
"ASSISTANT, ID SERVICES","ASSISTANT, ID SERVICES  ",9
CASEWORK SPECIALIST,CASEWORK SPECIALIST  ,9
COMMUNITY OUTREACH COORDINATOR,COMMUNITY OUTREACH COORDINATOR  ,9
CONGRESSIONAL REPRESENTATIVE,CONGRESSIONAL REPRESENTATIVE  ,9
CUSTOMER SOLUTIONS CONSULTANT,CUSTOMER SOLUTIONS CONSULTANT  ,9
DIR OF INFORMATION TECHNOLOGY,DIRECTOR OF INFORMATION TECHNOLOGY  ,9
FIELD REP & CASEWORKER,FIELD DIRECTOR REPRESENTATIVE AND CASEWORKER  ,9
LEGISLATIVE CORRESPONDENT AND ASST,LEGISLATIVE CORRESPONDENT/ASSISTANT  ,9
MANAGEMENT ANALYST,MANAGEMENT ANALYST  ,9
MINORITY STAFF DIRECTOR,MINORITY STAFF DIRECTOR  ,9
PHOTOGRAPHER AND LAB TECH (TEMP),PHOTOGRAPHER/LAB TECHNICAL ,9
PRODUCTION ASSISTANT,PRODUCTION ASSISTANT  ,9
PROJECT COORDINATOR,PROJECT COORDINATOR  ,9
PUBLIC AFFAIRS LIAISON,PUBLIC AFFAIRS LIAISON  ,9
REGIONAL REPRESENTATIVE,REGIONAL REPRESENTATIVE  ,9
REPUBLICAN SHARED STAFF,REPUBLICAN SHARED STAFF  ,9
SENIOR LEGISLATIVE COUNSEL,SENIOR LEGISLATIVE COUNSEL  ,9
SPEECHWRITER,SPEECHWRITER  ,9
SR BROADCAST ENG AND PROD SPECLST (OVERTIME),SENIOR BROADCAST ENG/PRODUCT SPECIALIST   ,9
SR NETWORK COMM SPECIALIST,SENIOR NETWORK COMMUNICATION SPECIALIST  ,9
SR PAYROLL & BENS GENERALIST,SENIOR PAYROLL AND BENEFITS GENERALIST  ,9
STAFF ASSISTANT - CASEWORKER,STAFF ASSISTANT - CASEWORKER  ,9
STAFF ASSISTANT AND SCHEDULER,STAFF ASSISTANT/SCHEDULER  ,9
TECHNICAL DIRECTOR (A) (OVERTIME),TECHNICAL DIRECTOR    ,9
TECHNICAL SUPPORT REP (A),TECHNICAL SUPPORT REPRESENTATIVE   ,9
AREA REPRESENTATIVE,AREA REPRESENTATIVE  ,10
CASE ASSISTANT,CASE ASSISTANT  ,10
CASEWORK DIRECTOR,CASEWORK DIRECTOR  ,10
CHIEF ECONOMIST,CHIEF ECONOMIST  ,10
CHIEF OF STAFF (OTHER COMPENSATION),CHIEF OF STAFF   ,10
COMMUNICATION DIRECTOR AND COUNSEL,COMMUNICATION DIRECTOR/COUNSEL  ,10
CONSTITUENT SERVICE OFFICER,CONSTITUENT SERVICE OFFICER  ,10
CONSTITUENT SERVICES MANAGER,CONSTITUENT SERVICES MANAGER  ,10
DEPUTY CLERK,DEPUTY CLERK  ,10
DIRECTOR OF SCHEDULING,DIRECTOR OF SCHEDULING  ,10
FEDERAL LIAISON,FEDERAL LIAISON  ,10
FLD REPRESENTATIVE AND CASEWKR,FIELD DIRECTOR REPRESENTATIVE/CASEWORKER  ,10
LEGISLATIVE CORRESPONDENT AND SYST,LEGISLATIVE CORRESPONDENT/SYSTEMS ADMINISTRATOR  ,10
LEGISLATIVE DIRECTOR & COUNSEL,LEGISLATIVE DIRECTOR AND COUNSEL  ,10
POLICY ANALYST,POLICY ANALYST  ,10
PRESS SECRETARY (OTHER COMPENSATION),PRESS SECRETARY   ,10
PROJECTS DIRECTOR,PROJECTS DIRECTOR  ,10
REC AND WAREHOUSE SPEC (A),RECEIVING/WAREHOUSE SPECIALIST   ,10
SALES SPECIALIST,SALES SPECIALIST  ,10
SCHEDULER (OTHER COMPENSATION),SCHEDULER   ,10
SENIOR PROFESSIONAL STAFF MEM,SENIOR PROFESSIONAL STAFF MEMBER  ,10
SR INFO SYST. SECURITY ANALYST,SENIOR INFORMATION SYSTEM SECURITY ANALYST  ,10
SR INTERNET SYSTEMS SPECIALIST,SENIOR INTERNET SYSTEMS SPECIALIST  ,10
SR NETWORK COMM SPEC,SENIOR NETWORK COMMUNICATION SPECIALIST  ,10
SR NETWORK SYSTEMS ENGINEER,SENIOR NETWORK SYSTEMS ENGINEER  ,10
SR TECH SOLUTIONS ENGINEER,SENIOR TECHNICAL SOLUTIONS ENGINEER  ,10
SR TELECOMMUNICATIONS ADMIN,SENIOR TELECOMMUNICATIONS ADMINISTRATOR  ,10
STAFF ASSISTANT AND LEG CORRES,STAFF ASSISTANT/LEGISLATIVE CORRESPONDENT  ,10
ADMINISTRATIVE AIDE (C),ADMINISTRATIVE AIDE   ,11
ASSISTANT CLERK,ASSISTANT CLERK  ,11
CONSTITUENT SERVICES LIAISON,CONSTITUENT SERVICES LIAISON  ,11
FIELD DIRECTOR,FIELD DIRECTOR DIRECTOR  ,11
FIELD REP AND CASEWORKER,FIELD DIRECTOR REPRESENTATIVE/CASEWORKER  ,11
LEGAL COUNSEL,LEGAL COUNSEL  ,11
LEGISLATIVE CORR AND SYSTEMS ADMIN,LEGISLATIVE CORRESPONDENT/SYSTEMS ADMINISTRATOR  ,11
MANAGER,MANAGER  ,11
OPERATIONS ASSISTANT,OPERATIONS ASSISTANT  ,11
REPUBLICAN PROF STAFF,REPUBLICAN PROFESSIONAL STAFF MEMBER ,11
SALES SPECIALIST (OVERTIME),SALES SPECIALIST   ,11
SR POLICY ADVISOR,SENIOR POLICY ADVISOR  ,11
SR PROFESSIONAL STAFF MEMBER,SENIOR PROFESSIONAL STAFF MEMBER  ,11
ADMINISTRATIVE DIRECTOR,ADMINISTRATIVE DIRECTOR  ,12
APPOINTMENT DESK ASSISTANT,APPOINTMENT DESK ASSISTANT  ,12
CHIEF,CHIEF  ,12
COMMUNICATIONS SPECIALIST,COMMUNICATIONS SPECIALIST  ,12
CONSTIT SVC REPRESENTATIVE,CONSTITUENT SERVICE REPRESENTATIVE  ,12
DEPUTY CHIEF,DEPUTY CHIEF  ,12
DIRECTOR OF SPECIAL PROJECTS,DIRECTOR OF SPECIAL PROJECTS  ,12
INTERNET SYSTEMS SPECIALIST,INTERNET SYSTEMS SPECIALIST  ,12
LEGISLATIVE CORRESPONDENT (OVERTIME),LEGISLATIVE CORRESPONDENT   ,12
NETWORK TECHNICIAN,NETWORK TECHNICIAN  ,12
PAYROLL & BENEFITS ASSISTANT,PAYROLL AND BENEFITS ASSISTANT  ,12
PUBLIC INFO SPECIALIST (A),PUBLIC INFORMATION SPECIALIST   ,12
REPUBLICAN STAFF DIRECTOR,REPUBLICAN STAFF DIRECTOR  ,12
SENIOR DISTRICT REPRESENTATIVE,SENIOR DISTRICT REPRESENTATIVE  ,12
TEACHER AIDE (A) (OVERTIME),TEACHER AIDE    ,12
ADMINISTRATIVE ASSISTANT (OVERTIME),ADMINISTRATIVE ASSISTANT   ,13
CASEWORKER AND FIELD REP,CASEWORKER/FIELD DIRECTOR REPRESENTATIVE  ,13
CUSTOMER SOLUTIONS REP.,CUSTOMER SOLUTIONS REPRESENTATIVE  ,13
DEPUTY DIRECTOR,DEPUTY DIRECTOR  ,13
DIRECTOR OF NEW MEDIA,DIRECTOR OF NEW MEDIA  ,13
DISTRICT CASEWORKER,DISTRICT CASEWORKER  ,13
ELECTRONICS TECHNICIAN (A),ELECTRONICS TECHNICIAN   ,13
OUTREACH REPRESENTATIVE,OUTREACH REPRESENTATIVE  ,13
PROJECT MANAGER,PROJECT MANAGER  ,13
SCHEDULER AND EXEC ASST,SCHEDULER/EXECUTIVE ASSISTANT  ,13
TEACHER AIDE (A),TEACHER AIDE   ,13
TECH SOLUTIONS ENGINEER,TECHNICAL SOLUTIONS ENGINEER  ,13
ACQUISITION COUNSELOR,ACQUISITION COUNSELOR  ,14
CASEWORK MANAGER,CASEWORK MANAGER  ,14
CONSTITUENT SERVICE SPECIALIST,CONSTITUENT SERVICE SPECIALIST  ,14
DIRECTOR OF OPERATIONS,DIRECTOR OF OPERATIONS  ,14
JR LEGISLATIVE ASSISTANT,JUNIOR LEGISLATIVE ASSISTANT  ,14
LEGISLATIVE COORESPONDENT,LEGISLATIVE COORESPONDENT  ,14
MAJORITY INTERN,MAJORITY INTERN  ,14
PROFESSIONAL ASSISTANT,PROFESSIONAL ASSISTANT  ,14
SR LEGISLATIVE ASST,SENIOR LEGISLATIVE ASSISTANT  ,14
STAFF ASSISTANT AND CASEWORKER,STAFF ASSISTANT/CASEWORKER  ,14
COMMUNICATIONS ASSISTANT,COMMUNICATIONS ASSISTANT  ,15
DIRECTOR,DIRECTOR  ,15
FINANCIAL COUNSELOR (A),FINANCIAL COUNSELOR   ,15
PUBLIC INFORMATION SPECIALIST,PUBLIC INFORMATION SPECIALIST  ,15
REPUBLICAN INTERN,REPUBLICAN INTERN  ,15
SPECIAL PROJECT COORDINATOR,SPECIAL PROJECT COORDINATOR  ,15
SUPERVISOR,SUPERVISOR  ,15
CONSTITUENT SERVICES ASSISTANT,CONSTITUENT SERVICES ASSISTANT  ,16
DISTRICT OFFICE MANAGER,DISTRICT OFFICE MANAGER  ,16
FIELD REPRESENTATIVE CASEWORKE,FIELD DIRECTOR REPRESENTATIVE CASEWORKER  ,16
OFFICE COORDINATOR,OFFICE COORDINATOR  ,16
PAYROLL & BENEFITS GENERALIST,PAYROLL AND BENEFITS GENERALIST  ,16
PROFESSIONAL STF MBR,PROFESSIONAL STAFF MEMBER  ,16
RESEARCH ASSISTANT,RESEARCH ASSISTANT  ,16
SENIOR FIELD REPRESENTATIVE,SENIOR FIELD DIRECTOR REPRESENTATIVE  ,16
SR TECHNICAL SUPPORT REP,SENIOR TECHNICAL SUPPORT REPRESENTATIVE  ,16
TAX COUNSEL,TAX COUNSEL  ,16
TEACHER,TEACHER  ,16
TRADE COUNSEL,TRADE COUNSEL  ,16
AUDITOR,AUDITOR  ,17
COMMUNITY REPRESENTATIVE.,COMMUNITY REPRESENTATIVE  ,17
DEPUTY CHIEF COUNSEL,DEPUTY CHIEF COUNSEL  ,17
SENIOR ECONOMIST,SENIOR ECONOMIST  ,17
SENIOR NETWORK TECHNICIAN,SENIOR NETWORK TECHNICIAN  ,17
CASE WORKER,CASE WORKER  ,18
DEPUTY STAFF DIRECTOR,DEPUTY STAFF DIRECTOR  ,18
FLOOR ASSISTANT,FLOOR ASSISTANT  ,18
INVESTIGATOR,INVESTIGATOR  ,18
LOGISTICS & DIST SPEC (A) (OVERTIME),LOGISTICS AND DISTRICT SPECIALIST    ,18
CHIEF CLERK,CHIEF CLERK  ,19
DISTRICT OFFICE DIRECTOR,DISTRICT OFFICE DIRECTOR  ,19
ELECTRONICS TECHNICIAN (A) (OVERTIME),ELECTRONICS TECHNICIAN    ,19
SR LEGIS ASST,SENIOR LEGISLATIVE ASSISTANT  ,19
STAFF ASSOCIATE,STAFF ASSOCIATE  ,19
SUBCOMMITTEE CLERK,SUBCOMMITTEE CLERK  ,19
TRANSCRIBER,TRANSCRIBER  ,19
ADMINISTRATIVE AIDE (OVERTIME),ADMINISTRATIVE AIDE   ,20
CHAMBER SUPPORT SVCS STAFF,CHAMBER SUPPORT SERVICES STAFF  ,20
CONSTITUENT SERVICES DIRECTOR,CONSTITUENT SERVICES DIRECTOR  ,20
MINORITY INTERN,MINORITY INTERN  ,20
TECHNICAL SUPPORT REP,TECHNICAL SUPPORT REPRESENTATIVE  ,20
CONSTITUENT REPRESENTATIVE,CONSTITUENT REPRESENTATIVE  ,21
DISTRICT MANAGER,DISTRICT MANAGER  ,21
REPUBLICAN COUNSEL,REPUBLICAN COUNSEL  ,21
SR TECHNICAL SUPPORT REP (A),SENIOR TECHNICAL SUPPORT REPRESENTATIVE   ,21
SYSTEMS ENGINEER,SYSTEMS ENGINEER  ,21
JOURNEYMAN FURNITURE SPEC. (OVERTIME),JOURNEYMAN FURNITURE SPECIALIST   ,22
OFFICIAL REPORTER (OVERTIME),OFFICIAL REPORTER   ,22
PERSONNEL,PERSONNEL  ,22
REPUBLICAN PROFESSIONAL STAFF,REPUBLICAN PROFESSIONAL STAFF MEMBER ,23
SPECIAL PROJECTS COORDINATOR,SPECIAL PROJECTS COORDINATOR  ,23
BUSINESS PROC APPLIC SPEC,BUSINESS PROC APPLIC SPECIALIST  ,24
CLERK,CLERK  ,24
DISTRICT STAFF ASSISTANT,DISTRICT STAFF ASSISTANT  ,24
SENIOR PROFESSIONAL STAFF,SENIOR PROFESSIONAL STAFF MEMBER ,24
SR BUSINESS PROCESS APPL SPEC,SENIOR BUSINESS PROCESS APPL SPECIALIST  ,24
ADMINISTRATIVE AIDE,ADMINISTRATIVE AIDE  ,25
COMMUNITY REPRESENTATIVE,COMMUNITY REPRESENTATIVE  ,25
DISTRICT CHIEF OF STAFF,DISTRICT CHIEF OF STAFF  ,25
GENERAL COUNSEL,GENERAL COUNSEL  ,25
INVESTIGATIVE COUNSEL,INVESTIGATIVE COUNSEL  ,25
LEGISLATIVE STAFF,LEGISLATIVE STAFF  ,25
OUTREACH DIRECTOR,OUTREACH DIRECTOR  ,25
ECONOMIST,ECONOMIST  ,26
GRANTS COORDINATOR,GRANTS COORDINATOR  ,26
SPECIAL ASSISTANT (OVERTIME),SPECIAL ASSISTANT   ,26
STAFF ASSISTANT (OTHER COMPENSATION),STAFF ASSISTANT   ,26
CONSTITUENT SERVICES,CONSTITUENT SERVICES  ,27
FIELD DEPUTY,FIELD DIRECTOR DEPUTY  ,27
BUDGET ANALYST,BUDGET ANALYST  ,28
CONSTITUENT ADVOCATE,CONSTITUENT ADVOCATE  ,28
DIR OF CONSTITUENT SVCS,DIRECTOR OF CONSTITUENT SERVICES  ,28
POLICY DIRECTOR,POLICY DIRECTOR  ,29
BROADCAST PRODUCTION TECHNICIA,BROADCAST PRODUCTION TECHNICIAN ,30
BROADCAST PRODUCTION TECHNICIA (OVERTIME),BROADCAST PRODUCTION TECHNICIAN  ,30
DIRECTOR OF COMMUNICATIONS,DIRECTOR OF COMMUNICATIONS  ,30
SCHEDULER AND EXECUTIVE ASSISTANT,SCHEDULER/EXECUTIVE ASSISTANT  ,30
CHAMBER SECURITY STAFF,CHAMBER SECURITY STAFF  ,31
LEGISLATIVE ASSISTANT (OTHER COMPENSATION),LEGISLATIVE ASSISTANT   ,31
REPUBLICAN PROF STAFF MEMBER,REPUBLICAN PROFESSIONAL STAFF MEMBER  ,31
DISTRICT ADMINISTRATOR,DISTRICT ADMINISTRATOR  ,32
MILITARY LEGISLATIVE ASSISTANT,MILITARY LEGISLATIVE ASSISTANT  ,32
OFFICIAL REPORTER,OFFICIAL REPORTER  ,32
RECEPTIONIST,RECEPTIONIST  ,32
DISTRICT LIAISON,DISTRICT LIAISON  ,33
CONSTITUENT SERVICE DIRECTOR,CONSTITUENT SERVICE DIRECTOR  ,34
DEPUTY COMMUNICATIONS DIRECTOR,DEPUTY COMMUNICATIONS DIRECTOR  ,34
SCHEDULE COORDINATOR,SCHEDULE COORDINATOR  ,34
